school-eng	address	address-match
129180	5T8HFFQF	byhand
129181	5T8FR6C5	byhand
129182	2X6MXMZX	
129183	9C3QNZ4	byhand
129184	2X6MYN1B	byhand
129185	2X6N0380	byhand
129186	9C3QNZ4	byhand
130160	9B09V9Y	
130338	9B1AJM8	byhand
130344	9APZQ0C	byhand
130347	9APR8VN	byhand
130348	9B1AK5M	byhand
130349	2X6MYG0S	byhand
130355	2X6MXNXN	byhand
130356	5T8JAGKZ	byhand
130359	9C3QPE6	byhand
130362	9CQJT5Q	byhand
130363	5T8FR93G	byhand
130720	5T8FR0G2	byhand
130721	2X6MXKN8	byhand
130722	9B09WV0	byhand
130723	5T8JASBR	byhand
131060	2X6MXMZX	
131100	2X6MV4HA	byhand
131188	2X6MV9XY	
131319	2X6MV5B0	
131456	9B1AK53	
131503	2X6MX9RF	byhand
131505	9C3QPDF	byhand
131651	9B1AHEF	
131955	9B1AHEF	
131971	9AE03ZP	byhand
132015	9B09NGR	byhand
132091	9C3QPF8	
132105	9AE9CV7	
132118	9AE03NR	byhand
133065	2X6MV8D9	byhand
133134	5T8FNG55	byhand
133263	9C3QNHH	byhand
133295	2X6MM9N0	byhand
133323	5T8GM5Z3	
133488	9AE9CV8	byhand
133738	9C3QPNH	byhand
133773	4D5FST	byhand
133783	2X6MTBJ3	byhand
133917	4D5QVY	byhand
133975	2X6MTDDH	byhand
134087	2X6MT9QA	byhand
134197	4D4PHY	byhand
134488	4D5QVY	byhand
134682	2X6MTKCB	byhand
134684	9A95Y4M	
134685	2X6MYGZD	byhand
134716	2X6MTBF0	
134786	9A2N6TH	
134933	2X6N040E	byhand
134985	9AE03VX	byhand
135083	5T8FDGYV	
135084	9C3QNZ0	
135221	2X6MV58T	byhand
135222	5T8JQF4Y	
135223	2X6MTBEZ	
135224	2X6MTSE6	
135339	5T8JQEN7	byhand
135402	5T8FDDY5	byhand
135528	5T8JAQST	
135553		byhand
135560	9AQK0HS	byhand
135596	5T8FR15Q	
135876	9AQ026H	byhand
135890	4D5GPC	byhand
135938	9B1AJXE	byhand
136024	4D609B	byhand
136247	9A2N551	byhand
136276	5T8FR167	byhand
136289	5T8FR333	byhand
136396	4D59W3	byhand
136482	9B09QK4	byhand
136554	9B1AJKN	
136606	2X6MYHSM	
136607	4D5J74	
136608	2X6MXN06	
136609	5T8JAHHX	
136857	2X6MV9XY	byhand
136877	9AE04NH	
136899	2X6MYGZH	
136901	2X6MYJWD	
136922	9AE03VX	byhand
136973	2X6MTFB6	
137002	2X6MXP1R	byhand
137038	5T8FVP7Q	
137090	2X6MXAD9	
137110	2X6MV9YH	
137156	2X6MTJCP	
137224	9AE051S	
137238	5T8JQEQF	byhand
137270	2X6MTFDH	
137288	2X6MXHBD	
137339	2X6MTDMM	
137351	9B09V9Y	
137532	4D4ME9	
137637	9B09QS4	
137656	2X6MXNC2	
137657	2X6MXNAP	
137658	2X6MXNC1	
137757	2X6MTBBS	
137792	2X6MTBBK	
137847	2X6MTHCA	byhand
137861	9B1AJVM	
137872	9B1AK1T	
137895	9C3QMQ7	byhand
137914	2X6MSZSZ	byhand
137922	5T8FR6GF	byhand
137938	2X6MTE5Y	byhand
137943	2X6MTHMA	byhand
137985	2X6MXAZE	
137997	2X6MXKK6	byhand
138042	2X6MT9S6	byhand
138106	2X6MTA14	byhand
138201	5T8JHC00	
138205	5T8JAG03	byhand
138206	2X6MTAHR	byhand
138215	9B1AJKR	byhand
138225	9C3QSD8	byhand
138231	5T8GN26J	byhand
138286	2X6MTE5Z	
138288	5T8FR6JX	byhand
138292	2X6MXNF8	byhand
138316	9C3H55Z	byhand
138322	9C3H984	byhand
138352	2X6MV863	
138354	2X6MXKNC	byhand
138356	2X6N02Y7	
138360	4D5Z7N	byhand
138389	2X6MXKK5	byhand
138484	2X6MXCRP	
138485	5T8JHA3Z	
138507	9A95Y4M	byhand
138539	2X6MTK10	byhand
138561	9CSKJEK	byhand
138582	2X6MTAPX	byhand
138632	5T8JH9XV	
138747	9AE03ZP	byhand
139036	5T8JQHE1	byhand
139154	2X6MXHSD	
139159	2X6MT9TB	
139197	5T8JAGKZ	byhand
139416	9AE09FM	byhand
139507	5T8FR9KA	byhand
139545	4D4PHZ	
139550	2X6MZR56	byhand
139662	9CQACQQ	byhand
139835	2X6MTHY9	byhand
139873	9B09VXK	
139902	2X6MXKNA	byhand
140037	9C3QN4X	byhand
140049	2X6MYE5R	byhand
140238	5T8JH8CZ	byhand
140249	9B09WFM	byhand
140294	2X6MXBT7	
140611	9C3H8GG	byhand
140707	2X6MTFQ9	byhand
140708	2X6MTFQN	byhand
140786	2X6MZTDB	byhand
140954	9CPSCCP	
140955	2X6MV4WB	
140956	9CPSCH5	byhand
141004	9CPSCN0	byhand
141251	2X6MZT45	
141851	2X6MTKCB	byhand
141898	9B1AHFC	
142051	4D547M	byhand
142221	2X6MKQRD	byhand
142257	4D5CKW	
142413	2X6MXM92	byhand
142862	9B1AHNG	byhand
143131	4D5BSY	
143409	4D5CE2	
143410	4D5MF5	
